budget_tag_id,budget_tag_track_number,budget_tag_name,fk_month_id,budget_tag_level,budget_tag_is_active,fk_account_system_id,budget_tag_created_date,budget_tag_created_by,budget_tag_last_modified_date,budget_tag_last_modified_by,fk_approval_id,fk_status_id
1,BUAG-83066,Annual Budget,7,1,1,4,2020-12-21,23,2020-12-21 11:19:15,23,1147,428
2,BUAG-29049,First Quarter Review [Second Quarter Budget],10,2,1,4,2020-12-21,23,2020-12-21 11:19:47,23,1148,428
3,BUAG-16326,Second Quarter Review [Third Quarter Budget],1,3,1,4,2020-12-21,23,2020-12-21 11:20:09,23,1149,428
4,BUAG-63839,Third Quarter Review [Fourth Quarter Budget],4,4,1,4,2020-12-21,23,2020-12-21 11:20:33,23,1150,428
5,BUAG-35265,Annual Budget,7,1,1,3,2021-02-05,1,2021-02-05 08:12:19,1,11471,425
6,BUAG-85345,Second Quarter Budget,10,2,1,3,2021-02-05,1,2021-02-05 08:12:47,1,11472,425
7,BUAG-37286,Third Quarter Budget,1,3,1,3,2021-02-05,1,2021-02-05 08:13:11,1,11473,425
8,BUAG-79298,Fourth Quarter Budget,4,4,1,3,2021-02-05,1,2021-02-05 08:13:30,1,11474,425
9,BUAG-58678,Annual Budget,7,1,1,5,2021-02-25,1,2021-02-25 13:52:42,1,20127,425
10,BUAG-43305,Second Quarter Budget,10,2,1,5,2021-02-25,1,2021-02-25 13:53:16,1,20128,425
11,BUAG-64695,Third Quarter Budget,1,3,1,5,2021-02-25,1,2021-02-25 13:53:46,1,20129,425
12,BUAG-42148,Fourth Quarter Budget,4,4,1,5,2021-02-25,1,2021-02-25 13:54:36,1,20130,425
13,BUAG-72289,Annual Budget,7,1,1,6,2022-05-12,1,2022-05-12 07:37:15,1,3465640,425
14,BUAG-5933,First Quarter Review[Second Quarter Budget],10,2,1,6,2022-05-12,1,2022-05-12 07:37:45,1,3465645,425
15,BUAG-38463,Second Quarter Review[Third Quarter Budget],1,3,1,6,2022-05-12,1,2022-05-12 07:38:39,1,3465654,425
16,BUAG-61214,Third Quarter Review[Fourth Quarter Budget],4,4,1,6,2022-05-12,1,2022-05-12 07:39:07,1,3465655,425
18,BUAG-73882,Annual Budget,7,1,1,10,2023-08-15,1,2023-08-15 16:20:26,1,20428604,425
19,BUAG-69257,Second Quarter Budget,10,2,1,10,2023-08-15,1,2023-08-15 16:20:58,1,20428605,425
20,BUAG-25647,Third Quarter Budget,1,3,1,10,2023-08-15,1,2023-08-15 16:21:24,1,20428606,425
21,BUAG-81947,Fourth Quarter Budget,4,4,1,10,2023-08-15,1,2023-08-15 16:21:51,1,20428607,425
22,BUAG-87579,Annual Budget,7,1,1,9,2024-01-30,2801,2024-01-30 12:55:17,2801,27908182,425
23,BUAG-18397,Second Quarter,10,2,1,9,2024-01-30,2801,2024-01-30 13:04:42,2801,27909721,425
24,BUAG-44600,Third Quarter,1,3,1,9,2024-01-30,2801,2024-01-30 13:05:25,2801,27909754,425
25,BUAG-77518,Fourth Quarter,4,4,1,9,2024-01-30,2801,2024-01-30 13:06:08,2801,27909791,425
26,BUAG-9645,Annual Budget,7,1,1,12,2024-07-31,1,2024-07-31 14:01:24,1,34031148,425
27,BUAG-23955,Second Quarter Budget,10,2,1,12,2024-07-31,1,2024-07-31 14:02:05,1,34031181,425
28,BUAG-55962,Third Quarter Budget,1,3,1,12,2024-07-31,1,2024-07-31 14:02:34,1,34031229,425
29,BUAG-18754,Fourth Quarter Budget,4,4,1,12,2024-07-31,1,2024-07-31 14:03:09,1,34031254,425
30,BUAG-87234,Annual Budget,7,1,1,14,2025-02-11,2801,2025-02-11 14:54:34,2801,42727398,425
31,BUAG-88994,Second Quarter,10,2,1,14,2025-02-11,2801,2025-02-11 14:55:30,2801,42727421,425
32,BUAG-74157,Third Quarter,1,3,1,14,2025-02-11,2801,2025-02-11 14:56:06,2801,42727426,425
33,BUAG-49581,Fourth Quarter,4,4,1,14,2025-02-11,2801,2025-02-11 14:56:54,2801,42727460,425
34,BUAG-47927,Annual Budget,7,1,1,15,2025-03-16,1,2025-03-16 20:21:44,1,43344717,425
35,BUAG-71201,Second Quarter Budget,10,2,1,15,2025-03-16,1,2025-03-16 20:22:10,1,43344718,425
36,BUAG-19840,Third Quarter Budget,1,3,1,15,2025-03-16,1,2025-03-16 20:22:34,1,43344719,425
37,BUAG-82429,Fourth Quarter Budget,4,4,1,15,2025-03-16,1,2025-03-16 20:23:02,1,43344720,425
