designation_id,designation_track_number,designation_name,fk_context_definition_id,designation_created_date,designation_last_modified_date,designation_created_by,designation_last_modified_by,fk_approval_id,fk_status_id
1,DEON-76662,Country Administrator,4,2020-08-21,2020-08-21 07:34:41,1,1,293,28
2,DEON-25385,Africa System Administrator,5,2020-08-21,2020-08-21 07:39:19,1,1,294,28
3,DEON-64212,Program Trainer,4,2020-08-21,2020-08-21 09:13:57,1,1,327,28
4,DEON-24248,Project Staff,1,2020-11-05,2020-11-05 12:46:41,1,1,640,28
5,DEON-14646,Partnership Facilitator,2,2021-02-26,2021-02-26 05:02:20,1,1,20291,710
6,DEON-42657,National Leadership Team Member,4,2021-03-09,2021-03-09 12:04:57,1,1,21120,710
7,DEON-2424845,Denomination HQ Accountant Staff,3,2020-11-05,2020-11-05 12:46:41,1,1,640,28
9,DEON-88064,Auditor,4,2022-02-10,2022-02-10 10:21:02,1,1,2216757,710
10,DEON-48292,Health Specialist,4,2022-06-19,2022-06-19 18:09:06,1,1,3815278,710
11,DEON-89012,National Office Accountant,4,2022-06-19,2022-06-19 18:38:14,1,1,3815366,710
12,DEON-8901209,Super Admin,6,2022-11-06,2022-11-06 18:38:14,1,1,3815366,710
13,DEON-21107,Auditor,5,2023-01-13,2023-01-13 09:35:36,1,1,10736477,710
14,DEON-20413,Child Protection Specialist[CPS] ,4,2023-02-22,2023-02-22 08:07:13,2801,2801,12449198,710
15,DEON-24248ASM,ASM/CPC,1,2023-03-05,2023-03-15 12:46:41,1,1,640,28
16,DEON-9723,Manager of Partnership,3,2023-05-08,2023-05-08 18:50:17,1,1,15990037,710
17,DEON-6022,Country Business Administrator,4,2023-05-16,2023-05-16 13:03:30,2801,2801,16157705,710
18,DEON-13994,CIVA,4,2023-05-24,2023-05-24 11:13:31,2801,2801,16305031,710
19,DEON-28144,Program Support Survival Specialist ,4,2023-06-09,2023-06-09 13:59:16,4008,4008,16692179,710
20,DEON-57064,Program Support Manager,4,2023-06-12,2023-06-12 07:41:30,1,1,16711319,710
21,DEON-72274,Program Support Specialist,4,2024-07-26,2024-07-26 10:46:40,1,1,33874012,710
22,DEON-89929,Partnership Preparation Specialist,4,2024-07-26,2024-07-26 10:47:06,1,1,33874018,710
