role_group_association_id,role_group_association_name,role_group_association_track_number,fk_role_group_id,fk_role_id,role_group_association_is_active,role_group_association_created_date,role_group_association_created_by,role_group_association_last_modified_date,role_group_association_last_modified_by,fk_status_id,fk_approval_id
1,Role_group_association # ROON-43191,ROON-43191,1,9,1,2020-12-21,1,2020-12-21 08:49:16,1,244,1014
2,Role_group_association # ROON-46524,ROON-46524,2,9,1,2020-12-21,1,2020-12-21 08:49:16,1,244,1015
3,Role_group_association # ROON-78847,ROON-78847,1,11,1,2020-12-21,1,2020-12-21 08:49:42,1,244,1016
4,Role_group_association # ROON-60950,ROON-60950,2,11,1,2020-12-21,1,2020-12-21 08:49:42,1,244,1017
5,Role_group_association # ROON-24389,ROON-24389,1,10,1,2020-12-21,1,2020-12-21 08:50:08,1,244,1018
6,Role_group_association # ROON-37692,ROON-37692,2,10,1,2020-12-21,1,2020-12-21 08:50:08,1,244,1019
7,Role_group_association # ROON-7385,ROON-7385,3,4,1,2020-12-21,1,2020-12-21 10:03:29,1,244,290
8,Role_group_association # ROON-55586,ROON-55586,3,2,1,2021-02-03,36,2021-02-03 07:30:35,36,244,290
9,Role_group_association # ROON-23508,ROON-23508,1,3,1,2021-02-05,1,2021-02-05 07:52:26,1,244,11452
10,Role_group_association # ROON-73296,ROON-73296,2,3,1,2021-02-05,1,2021-02-05 07:52:26,1,244,11453
12,Role_group_association # ROON-61149,ROON-61149,3,7,1,2021-02-26,1,2021-02-26 05:20:38,1,244,290
13,Role_group_association # ROON-47173,ROON-47173,1,8,1,2021-03-05,1,2021-03-05 08:18:59,1,244,324
15,Role_group_association # ROON-25491,ROON-25491,2,8,1,2021-03-05,1,2021-03-05 08:21:51,1,244,324
16,Role_group_association # ROON-76168,ROON-76168,6,13,1,2021-03-09,1,2021-03-09 12:09:37,1,244,21114
17,Role_group_association # ROON-4551,ROON-4551,5,14,1,2021-05-11,1,2021-05-11 11:12:38,1,244,45636
18,Role_group_association # ROON-4552,ROON-4552,7,16,1,2021-05-11,1,2021-05-11 11:12:38,1,244,45636
19,Role_group_association # ROON-19021,ROON-19021,8,4,1,2021-09-09,220,2021-09-09 21:53:51,220,250,121088
20,Role_group_association # ROON-75878,ROON-75878,4,17,1,2021-09-10,30,2021-09-10 08:54:20,30,250,1133
21,Role_group_association # ROON-14452,ROON-14452,5,16,1,2021-09-15,1,2021-09-15 05:44:52,1,244,20293
22,Role_group_association # ROON-23913,ROON-23913,9,12,1,2021-10-09,69,2021-10-09 07:35:26,69,807,212073
23,Role_group_association # ROON-21013,ROON-21013,10,8,1,2021-10-09,69,2021-10-09 07:44:33,69,807,212095
24,Role_group_association # ROON-84876,ROON-84876,11,20,1,2021-10-09,69,2021-10-09 13:09:34,69,807,213025
25,Role_group_association # ROON-38374,ROON-38374,12,19,1,2021-10-10,69,2021-10-10 21:34:00,69,807,217774
26,Role_group_association # ROON-14702,ROON-14702,13,7,1,2021-10-14,69,2021-10-14 09:30:12,69,807,224754
27,Role_group_association # ROON-69828,ROON-69828,14,3,1,2021-11-03,39,2021-11-03 07:54:16,39,248,811019
28,Role_group_association # ROON-84147,ROON-84147,15,26,1,2022-02-10,31,2022-02-10 10:19:04,31,250,2216734
29,Role_group_association # ROON-71475,ROON-71475,16,29,1,2022-04-29,1,2022-04-29 09:55:45,1,244,3305052
30,Role_group_association # ROON-44552,ROON-44552,20,34,1,2022-06-19,39,2022-06-19 18:18:33,39,248,3815320
31,Role_group_association # ROON-8060,ROON-8060,21,35,1,2022-06-19,1,2022-06-19 18:23:45,1,244,3815329
32,Role_group_association # ROON-57207,ROON-57207,22,37,1,2022-06-20,1,2022-06-20 04:12:14,1,244,3816083
33,Role_group_association # ROON-1618,ROON-1618,23,36,1,2022-06-20,1,2022-06-20 04:45:30,1,244,3816176
34,Role_group_association # ROON-10960,ROON-10960,24,11,1,2022-07-22,1,2022-07-22 07:15:50,1,244,5174491
35,Role_group_association # ROON-61222,ROON-61222,25,9,1,2022-07-22,1,2022-07-22 07:19:52,1,244,5174496
37,Role_group_association # ROON-64899,ROON-64899,1,40,1,2022-09-01,31,2022-09-01 07:46:59,31,250,6507954
38,Role_group_association # ROON-76247,ROON-76247,2,40,1,2022-09-01,31,2022-09-01 08:03:26,31,250,6507954
39,Role_group_association # ROON-58335,ROON-58335,20,43,1,2022-11-16,44,2022-11-16 09:51:35,44,248,9135950
40,Role_group_association # ROON-52851,ROON-52851,26,44,1,2022-12-05,39,2022-12-05 12:54:39,39,248,9571299
41,Role_group_association # ROON-5391,ROON-5391,20,37,"0",2023-03-13,3053,2023-03-13 10:42:22,3053,248,3815320
42,Role_group_association # ROON-48697,ROON-48697,18,31,1,2023-06-03,1598,2023-06-03 14:20:13,1598,2099,3305208
43,Role_group_association # ROON-45414,ROON-45414,17,30,1,2023-06-03,1598,2023-06-03 14:56:11,1598,2099,3305205
44,Role_group_association # ROON-59595,ROON-59595,16,33,"0",2023-06-05,1598,2023-06-05 08:38:43,1598,2099,3305242
45,Role_group_association # ROON-31939,ROON-31939,27,33,1,2023-06-05,1598,2023-06-05 13:27:36,1598,2099,3305242
50,Role_group_association # ROON-71953,ROON-71953,29,106,"0",2023-09-05,31,2023-09-05 08:24:47,31,250,20786888
51,Role_group_association # ROON-61390,ROON-61390,29,106,1,2023-09-05,31,2023-09-05 08:31:17,31,250,20786888
52,Role_group_association # ROON-85895,ROON-85895,30,109,1,2023-09-05,31,2023-09-05 08:38:23,31,250,20784880
53,Role_group_association # ROON-2978,ROON-2978,16,30,"0",2024-01-08,1598,2024-01-08 05:48:14,1598,2099,3305205
54,Role_group_association # ROON-42554,ROON-42554,3,111,1,2024-02-29,1,2024-02-29 08:25:41,1,244,1110
55,Role_group_association # ROON-67962,ROON-67962,31,133,1,2024-08-02,1,2024-08-02 11:28:03,1,244,33112621
56,Role_group_association # ROON-16719,ROON-16719,3,139,1,2024-08-03,6999,2024-08-03 19:56:17,6999,3752,34198567
57,Role_group_association # ROON-59314,ROON-59314,3,121,1,2024-09-16,4008,2024-09-16 13:11:25,4008,244,31903494
58,Role_group_association # ROON-63045,ROON-63045,3,142,1,2024-09-25,4008,2024-09-25 13:00:27,4008,244,35712655
59,Role_group_association # ROON-78886,ROON-78886,2,53,1,2024-11-07,1621,2024-11-07 08:43:42,1621,807,16692676
60,Role_group_association # ROON-50473,ROON-50473,9,53,1,2024-11-07,1621,2024-11-07 08:55:47,1621,807,16692676
61,Role_group_association # ROON-37342,ROON-37342,3,153,1,2025-03-16,1,2025-03-16 20:13:45,1,244,43344714
62,Role_group_association # ROON-29013,ROON-29013,21,155,1,2025-03-16,4008,2025-03-16 22:24:06,4008,244,43344722
